publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-54,34.06,23.99,0.704,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-94,29.90,22.78,0.762,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-60,37.77,29.65,0.785,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-56B,34.70,21.00,0.605,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-62,36.11,28.68,0.794,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-90,29.71,22.25,0.749,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-61,24.55,17.34,0.706,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-58,22.32,17.08,0.765,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-92,27.05,20.76,0.767,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-99,50.58,47.24,0.934,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-100,37.72,30.22,0.801,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-96,44.96,38.89,0.865,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-97,34.58,29.13,0.842,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-66/67,50.59,39.26,0.776,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-56A,41.52,34.22,0.824,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-04,24.30,20.88,0.859,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-02,22.57,18.24,0.808,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-04,14.17,10.84,0.765,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-02,26.79,23.28,0.869,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-01,29.02,24.57,0.847,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-93,28.14,21.11,0.750,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-06,24.59,21.30,0.866,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-05,19.82,16.69,0.842,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-01,21.54,18.57,0.862,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-63,39.32,29.84,0.759,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-65,7.28,0.28,0.038,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-98,11.16,10.31,0.924,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-91,25.94,20.65,0.796,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-91,26.59,21.06,0.792,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-59,26.81,18.12,0.676,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-64,8.94,2.12,0.237,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-101,9.99,13.42,1.342,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-57,25.03,17.25,0.689,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-55,23.33,10.70,0.459,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-03,23.86,20.23,0.848,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-54,21.46,15.93,0.742,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-94,17.47,9.02,0.516,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-60,33.27,26.17,0.787,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-56B,25.18,13.31,0.529,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-62,9.62,3.15,0.328,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-90,10.55,2.99,0.284,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-58,10.86,10.05,0.926,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-92,10.78,3.65,0.339,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-99,38.93,30.80,0.791,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-96,43.06,38.41,0.892,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-97,21.96,20.07,0.914,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-66/67,29.91,20.53,0.686,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-56A,51.98,39.69,0.763,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-04,19.13,15.73,0.823,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-02,17.08,13.32,0.780,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-04,7.87,8.83,1.123,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-02,17.15,15.25,0.890,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-01,8.66,8.47,0.977,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-06,11.77,9.32,0.792,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-05,11.29,8.99,0.796,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-01,20.22,17.48,0.865,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-91,12.57,12.93,1.029,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-59,19.36,17.86,0.923,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-57,15.49,7.81,0.504,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-55,14.89,18.44,1.239,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-03,25.28,21.15,0.837,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-54,10.30,8.59,0.834,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-62,26.41,20.34,0.770,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-61,8.58,2.67,0.311,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-99,12.42,5.42,0.436,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-96,33.07,26.20,0.792,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K08-56A,22.73,15.76,0.693,,,,,,,,
Clark (unplublished),Tarawera,"1315 AD Kaharoa eruption, Okataina caldera",-,Rhyolite,74.61,7.49,,,,Pumice,Subaerial,Explosive,K10-03-02,16.22,10.09,0.622,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,LAKGH-01,88.62,75.17,0.848,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,LAKGH-02,67.72,19.31,0.285,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,LAKGH-03,72.44,28.20,0.389,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,LAKGH-04,86.23,71.26,0.826,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,LAKGH-05,83.87,46.16,0.550,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,TECI-01,73.30,19.75,0.269,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,TECI-02,77.44,28.45,0.367,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,TECI-03,71.36,16.00,0.224,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,TECI-04,69.88,17.09,0.245,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,WAITA-01,76.93,34.97,0.455,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,WAITA-02,77.30,34.30,0.444,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,WAITA-03,82.54,46.35,0.562,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,WAITA-04,72.62,34.73,0.478,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Raft pumice,Submarine,Clastic,WAITA-05,82.21,42.56,0.518,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR06-01,76.89,71.84,0.934,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR06-02,70.63,70.08,0.992,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR06-03,67.11,68.64,1.023,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR06-04,63.88,65.17,1.020,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR06-05,70.91,68.90,0.972,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,GS17-01,55.07,26.20,0.476,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,GS38-01,76.40,73.05,0.956,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR04-01,65.22,50.87,0.780,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR04-02,84.32,85.50,1.014,,,,,,,,
Yeo et al. (In review),Metis Shoal,"2019 Late-Iki eruption, Volcano 0403-F",-,Andesite,63.24,3.11,,,,Pumice,Submarine,Clastic,DR04-03,73.73,66.62,0.903,,,,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1592,0.80,0.00,0.000,,,6.31E+10,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1593,12.30,0.90,0.073,,,3.16E+11,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1481,2.60,0.00,0.000,,,7.94E+11,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1501,25.90,0.30,0.012,,,2.00E+12,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1482,31.80,0.40,0.013,,,2.00E+12,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1484,33.10,0.90,0.027,,,2.51E+12,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1638,51.40,19.50,0.379,,,6.31E+13,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1470,58.80,21.30,0.362,,,2.00E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1510,62.90,36.90,0.587,,,3.16E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1480,61.10,24.80,0.406,,,1.58E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1500,60.50,33.00,0.545,,,2.51E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1466,73.60,55.90,0.760,,,6.31E+14,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1581,44.10,8.70,0.197,,,6.31E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1585,41.90,8.00,0.191,,,5.01E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1582,31.60,7.80,0.247,,,2.51E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1586,38.30,6.00,0.157,,,3.16E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1587,32.20,3.10,0.096,,,3.98E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1523,4.20,0.10,0.024,,,7.94E+11,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1502,14.10,0.40,0.028,,,5.01E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1503,22.70,0.70,0.031,,,1.58E+15,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1513,17.90,0.10,0.006,,,3.98E+14,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1485,28.60,2.60,0.091,,,2.51E+16,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1471,44.90,7.70,0.171,,,1.00E+16,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1473,49.30,19.20,0.389,,,1.58E+16,,,,,
Giachetti et al. 2019,Experimental,Hydration and decompression experiments,https://doi.org/10.1029/2018GC008006,Rhyolite,76.53,8.78,,,,Vesiculation under decompression,Subaerial,Vesiculation,G-1476,50.10,11.90,0.238,,,1.26E+16,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL12-10,74.09,60.62,0.818,,,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29a,91.46,88.41,0.967,4.21E-11,2.05E-07,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29d,79.66,67.57,0.848,7.93E-13,6.84E-09,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29i,75.43,64.89,0.860,5.52E-11,2.13E-07,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29l,91.70,89.27,0.973,,,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29m,91.60,86.96,0.949,3.58E-11,3.50E-07,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29n,90.51,86.33,0.954,,,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29s,69.99,45.20,0.646,2.89E-13,2.68E-09,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29t,68.11,40.54,0.595,1.52E-11,8.94E-08,,,,,,
Bernard and Bouvet de Maisonneuve 2020,Rabaul,Vulcan 1878 eruption,https://doi.org/10.1016/j.jvolgeores.2020.107068,Andesite,62.84,7.03,,,,Pumice,Subaerial,Explosive,RBL16-29r,85.62,80.84,0.944,6.46E-12,6.34E-08,,,,,,
