publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,87,80.78,77.89,0.964,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,15,80.78,76.38,0.946,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,9,80.59,77.60,0.963,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,46,80.55,72.56,0.901,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,79,80.50,71.75,0.891,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,35,80.40,74.20,0.923,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,74,80.39,73.73,0.917,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,68,80.16,76.49,0.954,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,39,80.13,75.00,0.936,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,82,80.10,77.18,0.964,,,,,,,,
